Issuer Company,Listing Date,Issue Price,Lot Size,Issue Price (Rs Cr),P/E Ratio,QIB,NII,RII,EMP,TOTAL,Open Price,Low Price,High Price,Close Price,% Change
Swashthik Plascon Limited,12/5/23,86,1600,40.76,17.23,3.42,35.76,13.58,,15.43,120.1,115.25,126.1,126.1,46.63
Flair Writing Industries Limited,12/1/23,304,49,593,23.36,122.02,35.23,13.73,,49.28,503,452.7,514,452.7,48.91
Fedbank Financial Services Limited,11/30/23,140,107,1092.26,25.04,3.48,1.49,1.88,1.34,2.24,137.75,133.15,148,140,0
Rockingdeals Circular Economy Limited,11/30/23,140,1000,21,33.33,47.38,458.6,201.42,,213.64,300,300,315,315,125
Tata Technologies Limited,11/30/23,500,30,3042.51,32.53,203.41,62.11,16.5,3.7,69.43,1199.95,1199.95,1400,1314.25,162.85
Gandhar Oil Refinery (India) Limited,11/30/23,169,88,500.69,,129.06,64.34,29.93,,65.63,295.4,295,344.6,301.5,78.4
Indian Renewable Energy Development Agency Ltd,11/29/23,32,460,2150.21,8.47,104.57,24.16,7.73,9.8,38.8,50,49.99,59.99,59.99,87.47
Arrowhead Seperation Engineering Limited,11/28/23,233,600,13,18.09,,46.02,142.3,,94.79,250,237.5,255,237.5,1.93
Sunrest Lifescience Limited,11/20/23,84,1600,10.85,12.33,,29.17,65.74,,48.54,84,79.8,84,79.8,-5
Kalyani Cast Tech Ltd,11/17/23,139,1000,30.11,8.67,66.35,439.2,190.95,,208.59,264.1,264.1,277.3,277.3,99.5
ROX Hi-Tech Limited,11/16/23,83,1600,54.49,9.11,106.25,366.86,204.02,,214.44,135,135,141.75,141.75,70.78
Baba Food Processing India Limited,11/15/23,76,1600,33,,147.02,84.73,60.82,,69.44,76,72.2,76,72.2,-5
ASK Automotive Limited,11/15/23,282,53,834,45.63,142.41,35.47,5.7,,51.14,304.9,304.15,317,310.2,10
Protean eGov Technologies Limited,11/13/23,792,18,490.33,29.91,46.94,31.62,8.93,1.49,23.86,792,775,890.9,883,11.49
Micropro Software Solutions Limited,11/10/23,81,1600,30.7,0.34,,22.6,49.08,,36.88,80,76,80.8,76,-6.17
ESAF Small Finance Bank Limited,11/10/23,60,250,463,8.94,182.66,88.81,17.86,4.59,77,71.9,68.5,74.7,69.05,15.08
SAR Televenture Limited,11/8/23,55,2000,24.75,,77,715.77,222.1,,288.09,105,105,110.25,110.25,100.45
Honasa Consumer Limited,11/7/23,324,46,1701.44,,11.5,4.02,1.35,4.88,7.61,324,322,340,337.15,4.06
Mish Designs Limited,11/7/23,122,1000,9.76,21.75,,98.44,166.74,,135.43,160,124,165,152,24.59
Maitreya Medicare Limited,11/7/23,82,1600,14.89,10.34,85.41,744.03,509.4,,446.79,162.55,154.45,164,154.45,88.35
Vrundavan Plantation Limited,11/6/23,108,1200,15.29,34.62,,11.6,25.51,,18.57,107,101.65,107,101.65,-5.88
KK Shah Hospitals Limited,11/6/23,45,3000,8.78,100,,17.75,9.41,,13.58,56.1,53.3,58.9,58.9,30.89
Transteel Seating Technologies Limited,11/6/23,70,2000,49.98,,12.15,122.88,39.82,,49.21,88.9,86.1,93.3,93.3,33.29
Cello World Limited,11/6/23,648,23,1900,,122.2,25.65,3.21,2.74,41.69,831,781.5,834.7,791.9,22.21
Shanthala FMCG Products Limited,11/3/23,91,1200,16.07,25.66,,4.76,3.05,,3.91,108,103,113.4,103.55,13.79
Paragon Fine And Speciality Chemicals Limited,11/3/23,100,1200,51.66,14.56,81.38,419.46,185.28,,205.74,225,213.75,236,213.75,113.75
Blue Jet Healthcare Limited,11/1/23,346,43,840.27,37.49,13.72,13.59,2.24,,7.95,359.9,359.9,395.85,395.85,14.41
On Door Concepts Limited,11/1/23,208,600,31.18,4.56,,3.16,7.87,,5.59,214,203.3,218,203.4,-2.21
Rajgor Castor Derivatives Limited,10/31/23,50,3000,47.81,,35.52,260.01,80.7,,107.43,59,56.05,61.95,61.1,22.2
WomanCart Limited,10/27/23,86,1600,9.56,50.67,,56.3,71.94,,67.48,117,117,122.85,122.85,42.85
IRM Energy Limited,10/26/23,505,29,545.4,24.13,44.73,48.34,9.29,2.05,27.05,479,450.05,483,472.95,-6.35
Arvind and Company Shipping Agencies Limited,10/25/23,45,3000,14.74,9.74,,436.05,321.97,,385.03,80,76,84,80.05,77.89
Committed Cargo Care Limited,10/18/23,77,1600,24.98,10.94,,94.2,78.73,,87.78,82,82,86.1,86.1,11.82
Plada Infotech Services Limited,10/13/23,48,3000,12.36,12.31,,39.81,73.78,,57.85,59,56.05,60,56.05,16.77
Vivaa Tradecom Limited,10/12/23,51,2000,7.99,47.66,,0.7,2.86,,1.81,40.8,38.76,42.82,42.54,-16.59
Sharp Chucks And Machines Limited,10/12/23,58,2000,16.84,11.2,,38.76,63.69,,54.2,66,63,69,65.05,12.16
Plaza Wires Limited,10/12/23,54,277,71.28,21.95,42.84,388.09,374.81,,160.97,84,75,84,80.23,48.57
Karnika Industries Limited,10/12/23,76,1600,25.07,7.57,,3.22,2.91,,3.07,81,81,85.05,82.6,8.68
Oneclick Logistics India Limited,10/11/23,99,1200,9.91,0.51,,139.45,224.19,,185.21,140,133,140,133,34.34
Sunita Tools Limited,10/11/23,145,1000,22.04,16.88,,5.27,21.1,,13.24,155,147.25,158,147.25,1.55
Canarys Automations Limited,10/11/23,31,4000,47.03,,2.73,14.29,11.7,,9.94,43.45,41.3,44.9,41.3,33.23
Goyal Salt Limited,10/11/23,38,3000,18.63,13.97,67.2,382.45,377.97,,294.61,130,123.5,136.5,136.1,258.16
Vishnusurya Projects and Infra Limited,10/10/23,68,2000,49.98,2.69,,36.32,43.63,,44.11,73,73,76.65,76.65,12.72
City Crops Agro Limited,10/10/23,25,6000,15,22.03,,2.15,4.78,,3.47,25.5,24.9,26,25.42,1.68
Kontor Space Limited,10/10/23,93,1200,15.62,22.27,,41.87,95.49,,70.97,122,115.9,122,115.9,24.62
E Factor Experiences Limited,10/9/23,75,1600,25.92,9.59,46.09,168.26,47.78,,73.14,115,115,120.75,120.75,61
Arabian Petroleum Limited,10/9/23,70,2000,20.24,11.51,,15.72,23.19,,19.91,77.4,74.25,78.8,76.25,8.93
Vinyas Innovative Technologies Limited,10/6/23,165,800,54.66,8.4,42.74,95.16,21.27,,43.24,330,313.5,346.5,346.5,110
Vinyas Innovative Technologies Limited,10/6/23,165,800,54.66,8.4,42.74,95.16,21.27,,43.24,330,313.5,346.5,346.5,110
Organic Recycling Systems Limited,10/6/23,200,600,50,25.54,,4.28,2.21,,3.24,215,214,225.75,225.75,12.88
Inspire Films Limited,10/5/23,59,2000,21.23,,25.27,147.16,180.41,,129.08,67,64.2,70.35,67.85,15
Newjaisa Technologies Limited,10/5/23,47,3000,39.93,15.51,1.02,15.34,6.54,,6.85,71,67.45,74.55,70.8,50.64
